iter	Passed	Remaining
829	16738	3428
830	16756	3407
831	16775	3387
832	16793	3366
833	16812	3346
834	16830	3325
835	16848	3305
836	16866	3284
837	16884	3264
838	16901	3243
839	16919	3222
840	16938	3202
841	16957	3182
842	16974	3161
843	16991	3140
844	17010	3120
845	17029	3099
846	17047	3079
847	17066	3059
848	17085	3038
849	17103	3018
850	17122	2998
851	17139	2977
852	17157	2956
853	17175	2936
854	17191	2915
855	17208	2894
856	17224	2874
857	17242	2853
858	17260	2833
859	17277	2812
860	17295	2792
861	17312	2771
862	17330	2751
863	17350	2731
864	17368	2710
865	17386	2690
866	17404	2669
867	17419	2649
868	17437	2628
869	17455	2608
870	17471	2587
871	17487	2566
872	17504	2546
873	17520	2525
874	17539	2505
875	17555	2485
876	17573	2464
877	17590	2444
878	17608	2423
879	17626	2403
880	17644	2383
881	17664	2363
882	17682	2343
883	17701	2322
884	17720	2302
885	17737	2282
886	17756	2262
887	17773	2241
888	17791	2221
889	17809	2201
890	17826	2180
891	17845	2160
892	17862	2140
893	17880	2120
894	17897	2099
895	17915	2079
896	17933	2059
897	17950	2038
898	17968	2018
899	17983	1998
900	18000	1977
901	18018	1957
902	18035	1937
903	18053	1917
904	18072	1897
905	18090	1876
906	18107	1856
907	18125	1836
908	18143	1816
909	18162	1796
910	18181	1776
911	18198	1756
912	18215	1735
913	18232	1715
914	18249	1695
915	18268	1675
916	18286	1655
917	18304	1635
918	18321	1614
919	18338	1594
920	18355	1574
921	18372	1554
922	18391	1534
923	18409	1514
924	18428	1494
925	18446	1474
926	18464	1454
927	18482	1434
928	18500	1413
929	18518	1393
930	18536	1373
931	18554	1353
932	18571	1333
933	18589	1313
934	18607	1293
935	18624	1273
936	18643	1253
937	18661	1233
938	18679	1213
939	18698	1193
940	18716	1173
941	18734	1153
942	18753	1133
943	18770	1113
944	18789	1093
945	18807	1073
946	18825	1053
947	18843	1033
948	18860	1013
949	18877	993
950	18894	973
951	18914	953
952	18931	933
953	18950	913
954	18966	893
955	18984	873
956	19004	853
957	19022	833
958	19040	814
959	19058	794
960	19075	774
961	19092	754
962	19111	734
963	19130	714
964	19148	694
965	19165	674
966	19183	654
967	19199	634
968	19215	614
969	19234	594
970	19252	574
971	19270	555
972	19288	535
973	19305	515
974	19321	495
975	19338	475
976	19357	455
977	19374	435
978	19390	415
979	19407	396
980	19423	376
981	19441	356
982	19459	336
983	19477	316
984	19495	296
985	19514	277
986	19532	257
987	19549	237
988	19568	217
989	19588	197
990	19605	178
991	19622	158
992	19641	138
993	19658	118
994	19677	98
995	19696	79
996	19715	59
997	19734	39
998	19754	19
999	19770	0
